ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
756,47,89.28,9.17,0.3,5.28,0.28,0.97,0,0,39.0,27.0,118.0,63.0,0,40.0,0.47,0.2,39,0.63,27,142,0.39,0.2,2,0,56,11,0.13,37,2.2,0,Bitkisel
757,62,84.52,15,0,13.75,0.42,0,0,0,48.0,10.0,0.0,0.0,25,0.0,0,0,833,2.5,0,0,0,0,167,0,0,0,0.63,0,7.3,0,Mix
758,105,80.66,7.4,0.1,4.78,3.77,6.73,2.152,8,328.0,163.0,126.0,262.0,0.8,49.0,0.17,60.000.000,41,0.3,55,184,261,0.21,9,339,101,15,0.42,13,3.3,24,Mix
759,452,846.000.000,66,6.6,28,830.000.000,16,5.6,0.1,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,2.9,Mikrogram,0,0,82.3,0,0,0,0,Bitkisel
760,48,85.8,10.12,3.1,4.36,03.09,0.42,77,0,68.0,158.0,23.0,9514.0,8.1,0.0,0.52,18.8,8.700.000,0,225,64,1.154,93.999.999,26,163,49,16,0.45,76,1.1,202,Bitkisel
761,437,18.76,52.3,2.3,26.3,5.9,22.3,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
762,508,5.27,28.09,12.2,6.79,26.08,36.24,1.989,0,13.0,738.0,266.0,31.0,7.1,0.0,05.07,5.4,397,0,805,261,4.733,921.000.000,162,81.000.000,828,370,06.08,645,208.1,2.448,Bitkisel
763,147,69.47,16.35,2.2,0.91,6.34,6.93,3.574,21,200.0,111.0,34.0,47.0,4.8,8.0,0.28,1.2,99,0.28,92,99,2.248,1.21,14,0,103,33,1.36,146,21.7,0,Mix
764,110,734.000.000,18.95,1.6,02.01,5.57,1.13,184,14,176.0,174.0,22.0,7.0,5.5,0.0,0.89,4.6,91,0.87,156,103,2.258,1.18,44,0,68,19,0.49,0.11,18.9,0,Hayvansal
765,24,925.100.000,4.68,2.3,2.22,02.01,0.27,41,0,24.0,193.0,22.0,12.0,48.8,0.0,7.000.000,14.8,123,0,51,7.000.000,429,0.54,64,136,35,12,0.17,31,0.8,197,Bitkisel
